NAPS ID	Province	City	Year	Year_lag	Latitude	Longitude	Elevation	Pollutant	variable	value	Year_beeyear_lag	seasons	mean_spring	mean_summer	mean_fall	mean_winter	test	mean_value
070118	MB	Winnipeg	2015	2016	49.932071685791016	-97.11316681	227	PM2.5	January	5	2015	Winter	4.6	6.733333333333333	5	5.333333333333333	2015_MB_PM2.5	5.438596491
070119	MB	Winnipeg	2015	2016	49.89799118041992	-97.14653015	229	SO2	January	NA	2015	Winter	1.8	0.30833333333333335	0.39166666666666666	0.43333333333333335	2015_MB_SO2	0.7533333333333333
065701	Morrisburg	Morrisburg	2014	2015	44.899749755859375	-75.18994141	69	O3	March	36	2015	Spring	35	26	23.333333333333332	22	2015_Morrisburg_O3	27.5
065701	Morrisburg	Morrisburg	2014	2015	44.899749755859375	-75.18994141	69	PM2.5	March	8	2015	Spring	7.333333333333333	6.333333333333333	5.666666666666667	8	2015_Morrisburg_PM2.5	6.6
040103	NB	Fredericton	2015	2016	45.95731735229492	-66.64672089	21	CO	January	0.22	2015	Winter	0.18666666666666668	0.18333333333333335	0.17777777777777778	0.21888888888888888	2015_NB_CO	0.19166666666666668
040103	NB	Fredericton	2015	2016	45.95731735229492	-66.64672089	21	NO	January	1	2015	Winter	1.3157894736842106	1.5	2.0526315789473686	1.7619047619047619	2015_NB_NO	1.6623376623376624
040103	NB	Fredericton	2015	2016	45.95731735229492	-66.64672089	21	NO2	January	6	2015	Winter	3.3157894736842106	2.8333333333333335	3.6842105263157894	4.571428571428571	2015_NB_NO2	3.6363636363636362
040103	NB	Fredericton	2015	2016	45.95731735229492	-66.64672089	21	NOX	January	7	2015	Winter	4.315789473684211	4.166666666666667	5.473684210526316	6.380952380952381	2015_NB_NOX	5.12987013
040103	NB	Fredericton	2015	2016	45.95731735229492	-66.64672089	21	O3	January	27	2015	Winter	33.515151515151516	22.181818181818183	21.96969696969697	29.032258064516128	2015_NB_O3	26.638461538461538
040103	NB	Fredericton	2015	2016	45.95731735229492	-66.64672089	21	PM2.5	January	9	2015	Winter	5.391304347826087	6.380952380952381	5.818181818181818	6.181818181818182	2015_NB_PM2.5	5.931818181818182
040203	NB	Saint John	2015	2016	45.30876159667969	-66.0083847	41	SO2	January	0.7	2015	Winter	1.575	1.7083333333333333	1.3333333333333333	0.9083333333333333	2015_NB_SO2	1.38125
010102	NL	St. John's	2015	2016	47.56037902832031	-52.71147156	7	CO	January	0.2	2015	Winter	0.17466666666666666	0.17357142857142857	0.168	0.17866666666666667	2015_NL_CO	0.17372881355932204
010102	NL	St. John's	2015	2016	47.56037902832031	-52.71147156	7	NO	January	4	2015	Winter	3.7222222222222223	3.5294117647058822	3.2222222222222223	2.1875	2015_NL_NO	3.1884057971014492
010102	NL	St. John's	2015	2016	47.56037902832031	-52.71147156	7	NO2	January	8	2015	Winter	2.111111111111111	1.8823529411764706	1.8888888888888888	2.875	2015_NL_NO2	2.1739130434782608
010102	NL	St. John's	2015	2016	47.56037902832031	-52.71147156	7	NOX	January	12	2015	Winter	5.722222222222222	5.352941176470588	5.055555555555555	4.875	2015_NL_NOX	5.260869565217392
010102	NL	St. John's	2015	2016	47.56037902832031	-52.71147156	7	O3	January	31	2015	Winter	34.65217391304348	22.772727272727273	23.875	31.333333333333332	2015_NL_O3	28.204301075268816
010901	NL	Burin	2015	2016	47.09899139404297	-55.19852066	1	PM10	January	NA	2015	Winter	11.666666666666666	10	12.333333333333334	13	2015_NL_PM10	11.636363636363637
010102	NL	St. John's	2015	2016	47.56037902832031	-52.71147156	7	PM2.5	January	9	2015	Winter	5.555555555555555	5.444444444444445	4.944444444444445	6.444444444444445	2015_NL_PM2.5	5.597222222222222
010102	NL	St. John's	2015	2016	47.56037902832031	-52.71147156	7	SO2	January	0.6	2015	Winter	0.4294117647058823	0.3764705882352941	0.2777777777777778	0.4	2015_NL_SO2	0.37
030118	NS	Halifax	2015	2016	44.64642333984375	-63.57338333	18	CO	January	0.27	2015	Winter	0.2	0.19999999999999998	0.24333333333333335	0.2816666666666667	2015_NS_CO	0.2357142857142857
030118	NS	Halifax	2015	2016	44.64642333984375	-63.57338333	18	NO	January	12	2015	Winter	0.6	2.611111111111111	2.7777777777777777	2.8125	2015_NS_NO	2.253731343283582
030118	NS	Halifax	2015	2016	44.64642333984375	-63.57338333	18	NO2	January	13	2015	Winter	2.1333333333333333	3.2222222222222223	3.5	4.5625	2015_NS_NO2	3.373134328358209
030118	NS	Halifax	2015	2016	44.64642333984375	-63.57338333	18	NOX	January	25	2015	Winter	2.8	5.944444444444445	6.222222222222222	7.375	2015_NS_NOX	5.656716417910448
030118	NS	Halifax	2015	2016	44.64642333984375	-63.57338333	18	O3	January	23	2015	Winter	34.63157894736842	24.333333333333332	23.857142857142858	30.61904761904762	2015_NS_O3	28.20731707317073
